iter	Passed	Remaining
0	160	160218
1	173	86518
2	188	62753
3	202	50384
4	225	44867
5	240	39852
6	254	36148
7	267	33231
8	282	31095
9	296	29320
10	310	27907
11	323	26654
12	336	25581
13	350	24673
14	364	23906
15	378	23271
16	392	22672
17	405	22145
18	419	21648
19	432	21182
20	445	20764
21	458	20360
22	470	19996
23	483	19679
24	496	19371
25	509	19092
26	522	18833
27	536	18609
28	549	18391
29	562	18175
30	575	17978
31	587	17785
32	600	17602
33	613	17444
34	626	17276
35	639	17127
36	653	16996
37	667	16891
38	680	16762
39	695	16684
40	707	16558
41	721	16451
42	733	16334
43	746	16219
44	759	16121
45	772	16025
46	786	15941
47	799	15849
48	812	15767
49	825	15681
50	838	15594
51	851	15518
52	864	15439
53	877	15367
54	890	15300
55	903	15229
56	916	15163
57	929	15103
58	942	15037
59	955	14973
60	969	14918
61	982	14860
62	995	14800
63	1008	14744
64	1021	14691
65	1034	14641
66	1047	14589
67	1060	14540
68	1074	14494
69	1087	14442
70	1100	14395
71	1113	14347
72	1126	14301
73	1139	14253
74	1152	14212
75	1165	14173
76	1178	14129
77	1201	14200
78	1214	14153
79	1227	14114
80	1239	14067
81	1253	14029
82	1266	13990
83	1279	13948
84	1292	13909
85	1305	13870
86	1317	13830
87	1331	13795
88	1344	13758
89	1356	13720
90	1369	13684
91	1382	13647
92	1395	13607
93	1408	13572
94	1421	13542
95	1434	13507
96	1446	13470
97	1460	13441
98	1473	13411
99	1487	13384
100	1501	13361
101	1515	13338
102	1528	13312
103	1541	13280
104	1557	13278
105	1573	13272
106	1589	13262
107	1629	13457
108	1645	13449
109	1661	13446
110	1676	13431
111	1694	13431
112	1708	13414
113	1725	13406
114	1739	13385
115	1753	13361
116	1766	13333
117	1782	13322
118	1796	13297
119	1810	13273
120	1823	13246
121	1836	13219
122	1850	13191
123	1863	13161
124	1876	13133
125	1889	13105
126	1902	13077
127	1915	13048
128	1929	13024
129	1942	12996
130	1955	12970
131	1968	12943
132	1981	12914
133	1993	12884
134	2007	12859
135	2020	12833
136	2033	12807
137	2045	12779
138	2059	12755
139	2071	12727
140	2084	12701
141	2097	12676
142	2110	12648
143	2123	12622
144	2136	12600
145	2149	12575
146	2163	12553
147	2176	12529
148	2189	12503
149	2204	12489
150	2217	12466
151	2230	12442
152	2243	12421
153	2256	12397
154	2269	12372
155	2282	12349
156	2295	12324
157	2307	12299
158	2320	12274
159	2333	12252
160	2349	12241
161	2362	12220
162	2375	12198
163	2388	12174
164	2401	12150
165	2414	12131
166	2427	12108
167	2440	12087
168	2453	12066
169	2466	12044
170	2480	12023
171	2493	12003
172	2506	11979
173	2519	11959
174	2532	11939
175	2545	11918
176	2558	11894
177	2571	11876
178	2584	11855
179	2597	11834
180	2611	11814
181	2624	11794
182	2637	11774
183	2650	11756
184	2663	11735
185	2677	11715
186	2690	11697
187	2704	11679
188	2717	11659
189	2730	11642
190	2744	11624
191	2757	11604
192	2770	11585
193	2783	11566
194	2796	11545
195	2810	11528
196	2823	11506
197	2836	11488
198	2849	11470
199	2862	11450
200	2875	11430
201	2888	11411
202	2901	11392
203	2914	11372
204	2928	11355
205	2941	11336
206	2954	11317
207	2967	11299
208	2980	11281
209	2994	11263
210	3006	11244
211	3020	11226
212	3033	11206
213	3046	11188
214	3059	11170
215	3072	11153
216	3085	11134
217	3098	11115
218	3112	11098
219	3125	11081
220	3138	11062
221	3151	11044
222	3164	11026
223	3177	11008
224	3191	10991
225	3208	10987
226	3221	10971
227	3234	10952
228	3247	10934
229	3260	10915
230	3273	10897
231	3286	10878
232	3298	10859
233	3311	10841
234	3324	10823
235	3339	10809
236	3353	10797
237	3366	10779
238	3379	10761
239	3393	10746
240	3407	10732
241	3421	10716
242	3434	10698
243	3447	10681
244	3460	10663
245	3473	10646
246	3486	10628
247	3499	10610
248	3512	10594
249	3525	10576
250	3537	10557
251	3551	10540
252	3563	10522
253	3576	10504
254	3589	10486
255	3602	10469
256	3615	10453
257	3629	10437
258	3642	10421
259	3656	10405
260	3669	10388
261	3681	10371
262	3695	10357
263	3708	10339
264	3721	10321
265	3734	10305
266	3748	10290
267	3760	10272
268	3774	10256
269	3787	10240
270	3800	10223
271	3814	10208
272	3826	10191
273	3839	10173
274	3852	10157
275	3865	10140
276	3878	10123
277	3891	10107
278	3904	10090
279	3917	10074
280	3930	10057
281	3943	10041
282	3957	10026
283	3970	10009
284	3982	9991
285	3995	9975
286	4008	9958
287	4028	9959
288	4041	9942
289	4054	9927
290	4067	9910
291	4080	9893
292	4092	9875
293	4105	9859
294	4119	9843
295	4132	9827
296	4145	9812
297	4158	9796
298	4171	9780
299	4185	9767
300	4198	9750
301	4211	9734
302	4225	9719
303	4237	9702
304	4250	9686
305	4264	9670
306	4276	9654
307	4289	9638
308	4303	9622
309	4315	9606
310	4328	9589
311	4341	9574
312	4355	9559
313	4369	9545
314	4382	9530
315	4395	9514
316	4408	9499
317	4421	9483
318	4435	9468
319	4448	9452
320	4461	9437
321	4474	9421
322	4487	9405
323	4499	9388
324	4512	9373
325	4525	9356
326	4538	9341
327	4551	9325
328	4565	9310
329	4583	9305
330	4600	9298
331	4626	9308
332	4647	9308
333	4672	9317
334	4690	9310
335	4703	9295
336	4716	9279
337	4729	9264
338	4751	9265
339	4764	9248
340	4778	9235
341	4791	9218
342	4804	9202
343	4818	9188
344	4831	9172
345	4844	9156
346	4857	9141
347	4871	9126
348	4884	9110
349	4897	9094
350	4910	9078
351	4923	9062
352	4935	9046
353	4948	9030
354	4961	9014
355	4977	9003
356	4992	8991
357	5005	8975
358	5017	8959
359	5030	8943
360	5043	8927
361	5056	8912
362	5069	8895
363	5082	8880
364	5094	8863
365	5107	8847
366	5120	8831
367	5133	8816
368	5146	8800
369	5158	8784
370	5172	8770
371	5186	8755
372	5198	8738
373	5211	8723
374	5224	8706
375	5236	8691
376	5249	8675
377	5262	8659
378	5276	8645
379	5289	8629
380	5302	8614
381	5315	8598
382	5328	8583
383	5341	8568
384	5354	8553
385	5367	8537
386	5380	8522
387	5393	8507
388	5405	8490
389	5418	8475
390	5431	8459
391	5444	8444
392	5457	8428
393	5469	8413
394	5482	8397
395	5495	8382
396	5508	8367
397	5521	8351
398	5534	8335
399	5547	8320
400	5559	8305
401	5573	8290
402	5586	8275
403	5599	8259
404	5613	8246
405	5626	8231
406	5639	8216
407	5652	8201
408	5665	8187
409	5695	8196
410	5719	8196
411	5752	8209
412	5770	8201
413	5786	8190
414	5800	8176
415	5814	8162
416	5827	8147
417	5840	8132
418	5854	8117
419	5867	8103
420	5881	8088
421	5893	8071
422	5906	8056
423	5918	8040
424	5930	8024
425	5943	8008
426	5957	7993
427	5969	7978
428	5982	7963
429	5996	7948
430	6008	7932
431	6021	7917
432	6034	7902
433	6047	7886
434	6059	7870
435	6072	7855
436	6086	7840
437	6098	7825
438	6111	7810
439	6125	7795
440	6137	7780
441	6150	7765
442	6164	7750
443	6178	7736
444	6191	7722
445	6204	7707
446	6217	7691
447	6230	7676
448	6242	7661
449	6255	7646
450	6269	7631
451	6282	7616
452	6295	7601
453	6308	7586
454	6320	7571
455	6334	7556
456	6347	7542
457	6360	7527
458	6373	7512
459	6387	7497
460	6400	7483
461	6412	7467
462	6425	7452
463	6438	7437
464	6451	7422
465	6463	7407
466	6476	7391
467	6489	7377
468	6502	7362
469	6515	7347
470	6529	7333
471	6542	7318
472	6554	7303
473	6567	7288
474	6580	7273
475	6594	7259
476	6608	7245
477	6620	7230
478	6633	7215
479	6646	7200
480	6659	7185
481	6672	7170
482	6690	7161
483	6704	7147
484	6717	7132
485	6730	7118
486	6742	7102
487	6755	7088
488	6769	7073
489	6782	7059
490	6798	7047
491	6815	7036
492	6828	7022
493	6841	7007
494	6853	6992
495	6867	6977
496	6880	6963
497	6893	6948
498	6905	6933
499	6918	6918
500	6931	6904
501	6944	6889
502	6957	6874
503	6970	6860
504	6983	6845
505	6997	6831
506	7010	6816
507	7023	6801
508	7036	6787
509	7049	6772
510	7062	6758
511	7076	6744
512	7089	6729
513	7102	6715
514	7115	6700
515	7128	6686
516	7141	6671
517	7153	6656
518	7167	6642
519	7180	6627
520	7192	6612
521	7206	6598
522	7219	6584
523	7231	6569
524	7244	6554
525	7257	6539
526	7270	6525
527	7283	6510
528	7296	6496
529	7309	6481
530	7322	6467
531	7335	6452
532	7347	6437
533	7361	6423
534	7374	6409
535	7387	6394
536	7400	6380
537	7413	6366
538	7426	6351
539	7439	6337
540	7452	6322
541	7465	6308
542	7478	6294
543	7491	6279
544	7504	6264
545	7516	6250
546	7530	6236
547	7542	6221
548	7555	6207
549	7568	6192
550	7581	6177
551	7595	6164
552	7608	6150
553	7621	6135
554	7634	6121
555	7647	6106
556	7659	6091
557	7672	6077
558	7685	6063
559	7700	6050
560	7713	6035
561	7726	6021
562	7739	6007
563	7752	5993
564	7765	5978
565	7778	5964
566	7791	5949
567	7805	5936
568	7819	5922
569	7832	5908
570	7845	5894
571	7858	5880
572	7872	5866
573	7885	5852
574	7898	5837
575	7911	5823
576	7925	5809
577	7937	5795
578	7950	5781
579	7964	5767
580	7976	5752
581	7989	5737
582	8001	5723
583	8015	5709
584	8027	5694
585	8040	5680
586	8053	5666
587	8066	5651
588	8079	5638
589	8093	5624
590	8106	5609
591	8119	5595
592	8133	5582
593	8146	5567
594	8159	5554
595	8173	5540
596	8186	5526
597	8199	5511
598	8212	5497
599	8225	5483
600	8238	5469
601	8252	5456
602	8265	5441
603	8278	5427
604	8290	5412
605	8303	5398
606	8317	5384
607	8330	5370
608	8343	5356
609	8359	5344
610	8372	5330
611	8385	5316
612	8398	5301
613	8411	5287
614	8424	5274
615	8437	5259
616	8450	5245
617	8463	5231
618	8476	5217
619	8489	5203
620	8501	5188
621	8514	5174
622	8527	5160
623	8540	5146
624	8553	5132
625	8566	5118
626	8580	5104
627	8593	5090
628	8606	5076
629	8619	5062
630	8632	5048
631	8645	5034
632	8658	5019
633	8670	5005
634	8685	4992
635	8698	4978
636	8711	4964
637	8724	4950
638	8737	4936
639	8750	4922
640	8764	4908
641	8777	4894
642	8790	4880
643	8803	4866
644	8817	4853
645	8830	4838
646	8843	4825
647	8856	4810
648	8869	4796
649	8882	4783
650	8895	4769
651	8908	4755
652	8922	4741
653	8935	4727
654	8948	4713
655	8961	4699
656	8974	4685
657	8994	4674
658	9006	4660
659	9020	4646
660	9032	4632
661	9045	4618
662	9058	4604
663	9070	4590
664	9083	4575
665	9097	4562
666	9110	4548
667	9124	4534
668	9137	4521
669	9171	4517
670	9187	4504
671	9200	4490
672	9213	4476
673	9226	4462
674	9238	4448
675	9251	4434
676	9265	4420
677	9277	4406
678	9290	4392
679	9303	4378
680	9317	4364
681	9331	4350
682	9343	4336
683	9358	4323
684	9371	4309
685	9383	4295
686	9396	4281
687	9409	4267
688	9422	4253
689	9435	4239
690	9462	4231
691	9476	4217
692	9489	4203
693	9502	4189
694	9514	4175
695	9528	4161
696	9541	4147
697	9556	4134
698	9569	4120
699	9582	4106
700	9595	4092
701	9609	4079
702	9622	4065
703	9635	4051
704	9648	4037
705	9661	4023
706	9673	4009
707	9686	3995
708	9699	3980
709	9713	3967
710	9725	3953
